x,y,z,vx,vy,vz,Bx,By,Bz
1e-06,1e-06,1e-06,1e+06,1e+06,1e+06,1,1,1
2e-06,2e-06,2e-06,1e+06,1e+06,1e+06,0.99995,0.99995,0.99995
3e-06,3e-06,3e-06,1e+06,1e+06,1e+06,0.9998,0.9998,0.9998
4e-06,4e-06,4e-06,1e+06,1e+06,1e+06,0.99955,0.99955,0.99955
5e-06,5e-06,5e-06,1e+06,1e+06,1e+06,0.9992,0.9992,0.9992
6e-06,6e-06,6e-06,1e+06,1e+06,1e+06,0.99875,0.99875,0.99875
7e-06,7e-06,7e-06,1e+06,1e+06,1e+06,0.998201,0.998201,0.998201
8e-06,8e-06,8e-06,1e+06,1e+06,1e+06,0.997551,0.997551,0.997551
9e-06,9e-06,9e-06,1e+06,1e+06,1e+06,0.996802,0.996802,0.996802
1e-05,1e-05,1e-05,1e+06,1e+06,1e+06,0.995953,0.995953,0.995953
1.1e-05,1.1e-05,1.1e-05,1e+06,1e+06,1e+06,0.995004,0.995004,0.995004
1.2e-05,1.2e-05,1.2e-05,1e+06,1e+06,1e+06,0.993956,0.993956,0.993956
1.3e-05,1.3e-05,1.3e-05,1e+06,1e+06,1e+06,0.992809,0.992809,0.992809
1.4e-05,1.4e-05,1.4e-05,1e+06,1e+06,1e+06,0.991562,0.991562,0.991562
1.5e-05,1.5e-05,1.5e-05,1e+06,1e+06,1e+06,0.990216,0.990216,0.990216
1.6e-05,1.6e-05,1.6e-05,1e+06,1e+06,1e+06,0.988771,0.988771,0.988771
1.7e-05,1.7e-05,1.7e-05,1e+06,1e+06,1e+06,0.987227,0.987227,0.987227
1.8e-05,1.8e-05,1.8e-05,1e+06,1e+06,1e+06,0.985585,0.985585,0.985585
1.9e-05,1.9e-05,1.9e-05,1e+06,1e+06,1e+06,0.983844,0.983844,0.983844
2e-05,2e-05,2e-05,1e+06,1e+06,1e+06,0.982004,0.982004,0.982004
2.1e-05,2.1e-05,2.1e-05,1e+06,1e+06,1e+06,0.980067,0.980067,0.980067
2.2e-05,2.2e-05,2.2e-05,1e+06,1e+06,1e+06,0.978031,0.978031,0.978031
2.3e-05,2.3e-05,2.3e-05,1e+06,1e+06,1e+06,0.975897,0.975897,0.975897
2.4e-05,2.4e-05,2.4e-05,1e+06,1e+06,1e+06,0.973666,0.973666,0.973666
2.5e-05,2.5e-05,2.5e-05,1e+06,1e+06,1e+06,0.971338,0.971338,0.971338
2.6e-05,2.6e-05,2.6e-05,1e+06,1e+06,1e+06,0.968912,0.968912,0.968912
2.7e-05,2.7e-05,2.7e-05,1e+06,1e+06,1e+06,0.96639,0.96639,0.96639
2.8e-05,2.8e-05,2.8e-05,1e+06,1e+06,1e+06,0.963771,0.963771,0.963771
2.9e-05,2.9e-05,2.9e-05,1e+06,1e+06,1e+06,0.961055,0.961055,0.961055
3e-05,3e-05,3e-05,1e+06,1e+06,1e+06,0.958244,0.958244,0.958244
3.1e-05,3.1e-05,3.1e-05,1e+06,1e+06,1e+06,0.955336,0.955336,0.955336
3.2e-05,3.2e-05,3.2e-05,1e+06,1e+06,1e+06,0.952334,0.952334,0.952334
3.3e-05,3.3e-05,3.3e-05,1e+06,1e+06,1e+06,0.949235,0.949235,0.949235
3.4e-05,3.4e-05,3.4e-05,1e+06,1e+06,1e+06,0.946042,0.946042,0.946042
3.5e-05,3.5e-05,3.5e-05,1e+06,1e+06,1e+06,0.942755,0.942755,0.942755
3.6e-05,3.6e-05,3.6e-05,1e+06,1e+06,1e+06,0.939373,0.939373,0.939373
3.7e-05,3.7e-05,3.7e-05,1e+06,1e+06,1e+06,0.935897,0.935897,0.935897
3.8e-05,3.8e-05,3.8e-05,1e+06,1e+06,1e+06,0.932327,0.932327,0.932327
3.9e-05,3.9e-05,3.9e-05,1e+06,1e+06,1e+06,0.928665,0.928665,0.928665
4e-05,4e-05,4e-05,1e+06,1e+06,1e+06,0.924909,0.924909,0.924909
4.1e-05,4.1e-05,4.1e-05,1e+06,1e+06,1e+06,0.921061,0.921061,0.921061
4.2e-05,4.2e-05,4.2e-05,1e+06,1e+06,1e+06,0.917121,0.917121,0.917121
4.3e-05,4.3e-05,4.3e-05,1e+06,1e+06,1e+06,0.913089,0.913089,0.913089
4.4e-05,4.4e-05,4.4e-05,1e+06,1e+06,1e+06,0.908966,0.908966,0.908966
4.5e-05,4.5e-05,4.5e-05,1e+06,1e+06,1e+06,0.904752,0.904752,0.904752
